TransactionID,CustomerID,Year,Amount,StoreID,Weekday / Weekend,Brand,Transaction Region,Store Region,Age Band,Gender
10001,10463,2012,48.449999999999996,10003,Weekend,River Deep Camping,1,1,20-30,male
10001,10463,2012,68.6,10004,Weekend,The Camping Hut,1,1,20-30,male
11955,10463,2013,54.949999999999996,10004,Weekend,The Camping Hut,1,1,20-30,male
14240,10463,2013,42.9,40001,Weekend,Camping Land,4,1,20-30,male
10002,11869,2012,47.55,10003,Weekday,River Deep Camping,1,1,20-30,male
10003,11869,2012,53.449999999999996,10003,Weekday,River Deep Camping,1,1,20-30,male
10005,11869,2012,51.65,10003,Weekday,River Deep Camping,1,1,20-30,male
11956,11869,2013,39.949999999999996,10004,Weekend,The Camping Hut,1,1,20-30,male
10001,11869,2012,35.75,10001,Weekend,Camping Land,1,1,20-30,male
10004,11869,2012,54.25,20003,Weekday,River Deep Camping,2,1,20-30,male
10006,10472,2012,69.35,10003,Weekday,River Deep Camping,1,1,20-30,male
10007,10472,2012,57.8,10003,Weekend,River Deep Camping,1,1,20-30,male
10002,10472,2012,78.3,10001,Weekend,Camping Land,1,1,20-30,male
14241,10472,2013,64.14999999999999,10001,Weekend,Camping Land,1,1,20-30,male
14242,10472,2013,55.25,10001,Weekend,Camping Land,1,1,20-30,male
13337,10472,2013,25.9,20001,Weekend,Camping Land,2,1,20-30,male
10008,11491,2012,65.64999999999999,10003,Weekday,River Deep Camping,1,1,20-30,male
13344,11491,2013,39.449999999999996,10002,Weekend,Outdoor,1,1,20-30,male
13345,11491,2013,37.25,10002,Weekday,Outdoor,1,1,20-30,male
13346,11491,2013,24.0,10002,Weekday,Outdoor,1,1,20-30,male
10003,11491,2012,30.45,40001,Weekday,Camping Land,4,1,20-30,male
10009,11557,2012,48.0,10003,Weekend,River Deep Camping,1,1,20-30,male
14249,11557,2013,38.4,10001,Weekday,Camping Land,1,1,20-30,male
14250,11557,2013,44.349999999999994,10001,Weekday,Camping Land,1,1,20-30,male
13356,11557,2013,48.25,40002,Weekend,Outdoor,4,1,20-30,male
13357,11557,2013,45.449999999999996,10002,Weekday,Outdoor,1,1,20-30,male
13358,11557,2013,50.5,10002,Weekday,Outdoor,1,1,20-30,male
10007,11557,2012,8.950000000000001,40001,Weekday,Camping Land,4,1,20-30,male
11958,11557,2013,17.3,30004,Weekend,The Camping Hut,3,1,20-30,male
10010,11063,2012,67.3,10003,Weekday,River Deep Camping,1,1,20-30,male
10014,11063,2012,49.25,40002,Weekend,Outdoor,4,1,20-30,male
13363,11063,2013,1.0,10002,Weekday,Outdoor,1,1,20-30,male
14252,11063,2013,37.25,30001,Weekday,Camping Land,3,1,20-30,male
10012,11444,2012,25.150000000000002,10003,Weekday,River Deep Camping,1,1,20-30,male
10009,11444,2012,58.6,10004,Weekday,The Camping Hut,1,1,20-30,male
14255,11444,2013,16.05,10001,Weekday,Camping Land,1,1,20-30,male
13368,11444,2013,41.6,10002,Weekend,Outdoor,1,1,20-30,male
11962,11444,2013,78.14999999999999,20004,Weekday,The Camping Hut,2,1,20-30,male
10013,10268,2012,38.0,10003,Weekday,River Deep Camping,1,1,20-30,male
10013,10268,2012,63.15,10001,Weekday,Camping Land,1,1,20-30,male
14257,10268,2013,41.5,10001,Weekend,Camping Land,1,1,20-30,male
13372,10268,2013,57.4,10002,Weekend,Outdoor,1,1,20-30,male
10020,10268,2012,41.2,30002,Weekday,Outdoor,3,1,20-30,male
10010,10268,2012,48.5,30004,Weekday,The Camping Hut,3,1,20-30,male
10015,10012,2012,11.55,10003,Weekday,River Deep Camping,1,1,20-30,female
12025,10012,2013,3.75,10003,Weekend,River Deep Camping,1,1,20-30,female
12026,10012,2013,15.75,10003,Weekend,River Deep Camping,1,1,20-30,female
10020,10012,2012,9.25,10001,Weekend,Camping Land,1,1,20-30,female
10021,10012,2012,8.7,10001,Weekend,Camping Land,1,1,20-30,female
14262,10012,2013,6.6,10001,Weekend,Camping Land,1,1,20-30,female
10030,10012,2012,12.2,40002,Weekend,Outdoor,4,1,20-30,female
10029,10012,2012,9.9,10002,Weekday,Outdoor,1,1,20-30,female
13377,10012,2013,14.350000000000001,10002,Weekday,Outdoor,1,1,20-30,female
13378,10012,2013,4.05,10002,Weekend,Outdoor,1,1,20-30,female
13379,10012,2013,17.85,10002,Weekend,Outdoor,1,1,20-30,female
14263,10012,2013,13.55,40001,Weekday,Camping Land,4,1,20-30,female
14264,10012,2013,14.450000000000001,40001,Weekday,Camping Land,4,1,20-30,female
10022,10012,2012,12.8,20001,Weekend,Camping Land,2,1,20-30,female
13376,10012,2013,1.0,20001,Weekend,Camping Land,2,1,20-30,female
10014,10012,2012,7.35,30003,Weekday,River Deep Camping,3,1,20-30,female
10019,10012,2012,12.25,30004,Weekend,The Camping Hut,3,1,20-30,female
10016,11902,2012,11.850000000000001,10003,Weekend,River Deep Camping,1,1,20-30,female
10017,11902,2012,13.450000000000001,10003,Weekend,River Deep Camping,1,1,20-30,female
12028,11902,2013,11.450000000000001,10003,Weekend,River Deep Camping,1,1,20-30,female
12029,11902,2013,11.850000000000001,10003,Weekday,River Deep Camping,1,1,20-30,female
11967,11902,2013,4.1,10004,Weekend,The Camping Hut,1,1,20-30,female
10024,11902,2012,11.25,10001,Weekday,Camping Land,1,1,20-30,female
10025,11902,2012,9.0,10001,Weekend,Camping Land,1,1,20-30,female
14265,11902,2013,13.1,10001,Weekday,Camping Land,1,1,20-30,female
14266,11902,2013,9.5,10001,Weekday,Camping Land,1,1,20-30,female
12027,11902,2013,14.55,20003,Weekday,River Deep Camping,2,1,20-30,female
10031,11902,2012,8.2,10002,Weekend,Outdoor,1,1,20-30,female
10032,11902,2012,11.9,10002,Weekend,Outdoor,1,1,20-30,female
